SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005003,存款减少(增加),839923.78
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005004,处置固定资产,2765.94
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005005,购建固定资产,508010.98
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005007,购建无形资产及其他资产,8654626.26
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005010,收回投资所得现金,79062550.94
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005011,投资支付现金,16711809.48
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005999,投资业务现金净额,66470148.1
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,006999,融资前现金净额,3735862.96
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,007001,新增借款,425916958.82
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,007002,偿还借款,410944003.62
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,007003,已付利息(融资),9205970.3
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,007004,已付股息(融资),22565460.5
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,007011,偿还融资租赁,2045873.62
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,007997,融资业务其他项目,-40567.12
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,007999,融资业务现金净额,-18884916.34
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,010999,现金净额,-15149053.38
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,011001,期初现金,336210148.78
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,011997,期间变动其他项目,-23453327.24
